Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.552449464,1.838858641,52500,H,-0.046339406,9.359822883
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.416278316,1.057218568,52500,H,-0.265360811,8.659259238
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.598015101,1.441991698,52500,H,-0.071662066,8.677048874
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.614941376,1.441389009,52500,H,-0.416863737,6.398009946
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.663155236,1.948665265,52500,H,-0.149069209,5.900579355
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.733483113,1.150790224,52500,H,-0.063352187,5.45078516
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.609763714,1.173026863,52500,H,-0.23965797,10.36125882
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.817199097,1.752841399,52500,H,-0.232683618,6.779233466
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.334758715,1.342826066,52500,H,-0.045331719,5.591644719
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.610882463,1.969133488,52500,H,-0.424663812,9.628021687
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.497379999,1.958172364,52500,H,-0.212179661,7.804739247
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.894105152,2.266272511,52500,H,-0.008950847,6.340901488
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.764063047,1.427201686,52500,H,-0.240521959,5.799204064
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.702001437,2.239202699,52500,H,-0.239161659,5.824589984
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.652827994,1.517109081,52500,H,-0.142102797,5.859023875
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,0.671106467,1.921101676,52500,H,-0.324426518,6.718067362
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,128,1.414678802,2.366746622,52500,H,-0.136107245,8.405769047
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.725038057,2.110339914,52500,H,-0.028133191,9.241505063
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.447751261,1.493010723,52500,H,-0.26186334,8.764547944
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.699447423,1.320948673,52500,H,-0.099073133,8.493988451
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,1.316152007,1.884862821,52500,H,-0.420006471,6.353767008
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,1.292712159,2.031450568,52500,H,-0.196383872,5.705219424
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.639650424,1.089578287,52500,H,0.012617249,5.504069721
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.623207892,1.054133436,52500,H,-0.267527293,10.30629567
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.905195207,1.615637538,52500,H,-0.263973423,6.710534021
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.425156216,1.221432299,52500,H,-0.067217942,5.62935044
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.815819534,1.309858947,52500,H,-0.409556999,9.691977923
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.647799589,1.580015691,52500,H,-0.20487015,7.867212305
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,1.234205489,2.762175762,52500,H,-0.006494805,6.446359557
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.655797819,1.362765891,52500,H,-0.246311124,5.734679404
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.869109097,2.124276139,52500,H,-0.275277064,5.885668513
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.382119734,0.851550899,52500,H,0.054345086,9.966384717
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.622517461,2.147645929,52500,H,-0.152936294,5.956502719
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,0.770797693,1.634406139,52500,H,-0.346561794,7.067849087
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,256,1.04765332,2.727339579,52500,H,-0.131268476,8.108362723
Artiodactyla,Cervidae,Alces,Alces alces,1,0.021398488,0.287285556,356998,H,-0.77634812,2.871635718
Artiodactyla,Cervidae,Alces,Alces alces,1,0.022299996,0.331698913,356998,H,-0.762133656,1.275460106
Artiodactyla,Cervidae,Alces,Alces alces,1,0.018503374,0.223734208,356998,H,-1.003074359,4.959131634
Artiodactyla,Cervidae,Alces,Alces alces,1,0.04864737,0.468992147,356998,H,0.405843433,0.14104869
Artiodactyla,Cervidae,Alces,Alces alces,1,0.023381082,0.298307805,356998,H,-0.772957784,2.452884594
Artiodactyla,Cervidae,Alces,Alces alces,1,0.034460597,0.351366549,356998,H,-0.876560931,1.395728702
Artiodactyla,Cervidae,Alces,Alces alces,1,0.040978412,0.364304566,356998,H,-1.31732978,0.3250184
Artiodactyla,Cervidae,Alces,Alces alces,1,0.037208822,0.460496483,356998,H,-0.997223348,0.000732591
Artiodactyla,Cervidae,Alces,Alces alces,1,0.043592775,0.567560059,356998,H,-0.581492376,3.400784741
Artiodactyla,Cervidae,Alces,Alces alces,1,0.037809524,0.457757752,356998,H,-0.291232316,0.219540756
Artiodactyla,Cervidae,Alces,Alces alces,1,0.019244956,0.408160704,356998,H,-0.611264036,4.057203602
Artiodactyla,Cervidae,Alces,Alces alces,1,0.014159051,0.300028746,356998,H,-0.67245613,1.292943888
Artiodactyla,Cervidae,Alces,Alces alces,1,0.027425623,0.378486544,356998,H,-0.689986114,0.820043659
Artiodactyla,Cervidae,Alces,Alces alces,1,0.019438567,0.467182007,356998,H,-0.636771718,1.158730104
