ID,Year,Time,VCL,VAP,VSL,LIN,WOB,PROG,BCF,MOT,N,natalyr,f.corr,Mass,Tarsus
4,2012,0,96.38438,72.30574,37.14754,0.5137565,0.7501811,5.6997194,13.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,50.35332,14.23381,6.881831,0.4834847,0.2826788,5.752895,13.928572,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,125.2279,81.94651,55.5429,0.6777945,0.6543792,15.084025,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,288.2568,137.5074,104.7832,0.7620187,0.4770308,9.643061,13.2,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,51.5753,26.75005,18.44858,0.6896651,0.5186601,7.038534,14.318182,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,327.8107,193.3673,91.40479,0.4727004,0.5898748,0.47270042,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,91.39239,60.25524,41.00527,0.6805264,0.6593026,1.0507432,3.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,102.0977,68.0405,49.86563,0.7328815,0.6664253,25.309984,15.245902,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,92.37941,31.91611,29.81747,0.9342451,0.3454894,2.2214658,9,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,215.176,139.9476,99.07021,0.7079091,0.6503869,1.1786069,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,104.2086,59.55203,37.10721,0.6231056,0.5714693,28.568892,17.790697,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,109.1224,75.41942,21.49738,0.2850377,0.691145,14.89896,17.294117,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,199.3193,107.2844,76.71774,0.7150872,0.5382543,5.790458,12.272727,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,349.53,74.62597,36.45852,0.48855,0.2135038,2.7127147,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,88.81143,53.08611,29.87451,0.5627558,0.5977396,5.56754,13.421053,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,200.0539,82.17115,50.79613,0.6181747,0.410745,7.6210446,15.555555,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,97.10214,45.97935,18.21137,0.3960771,0.4735153,10.085819,18.636364,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,34.14124,12.765,7.782644,0.609686,0.3738881,1.8364444,3,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,101.7602,58.71836,22.95226,0.3908873,0.5770271,18.057487,14.651163,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,469.4076,138.352,79.48942,0.5745448,0.2947374,5.0118837,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,348.5725,165.4793,111.8471,0.6758978,0.4747342,5.091838,12.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,176.0979,95.00111,35.24899,0.3710377,0.5394789,12.127542,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,176.0862,153.6695,103.4285,0.6730582,0.872695,3.400012,9.473684,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,80.58576,31.72559,13.68546,0.4313698,0.3936873,7.204483,17.142857,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,130.4833,49.3543,35.44866,0.7182488,0.3782421,1.9553022,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,181.8017,151.9889,147.741,0.9720517,0.8360144,3.8375819,13.125,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,126.6035,16.0744,12.24157,0.7615566,0.1269666,4.5948653,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,58.7862,62.94947,52.58165,0.8352993,1.07082,2.0734892,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,122.79,52.01595,34.14037,0.6563442,0.4236173,8.06462,15.5172415,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,195.1992,101.9672,31.05319,0.3045411,0.522375,5.931991,14.615385,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,96.21332,65.40535,39.97446,0.6111803,0.6797951,19.016216,17.142857,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,161.0794,69.97505,27.34214,0.3907413,0.4344133,8.643949,18.979591,0.6126316,950,2011,0.1142415,25,23.3
