Family,Genus,Species,C.Name,Social.Class,Natal.Den,Hibernaculum,Predation,Food.Storage,Residence,FP,Primary,Secondary,Occupant,BC,Length,Height,Mass.F,Mass.M,Mass.A,ML,Eyes,Lac,Ind,ImpDel,Gestation,Litter,Mat,Long,HR,Pred,GS,Lat,Diet
Mustelidae,Lutra,lutra,European otter,3,1,0,0,0,0.5,1.5,1,0,0,3,760,,5.2,9,7.1,0.3,32,112,393,0,62,2.5,30.4,49,29.2,,3.5,71.17,Carnivorous
Mustelidae,Hydrictis,maculicollis,Spotted-necked otter,3,0.5,0,0,0,0.5,1,1,0,0,3,658,,3.5,4.4,3.9,0.2,,,,0,56,1.5,,96,16.2,2,4.5,14.37,Carnivorous
Mustelidae,Lutrogale,perspicillata,Smoth-coated otter,2,1,0,0,0,1,2,1,0,0,3,625,,7.3,10.3,8.8,0.3,10,35,,0,62,1.5,24.3,180,7,,2,31.61,Carnivorous
Mustelidae,Pteronura,brasiliensis,Giant otter,4,1,0,0,0,1,2,1,0,0,3,1425,,24,26,25,0.4,28,63,,0,61,2,24,154,5,0,6,9.56,Carnivorous
Viverridae,Arctictis,binturong,Binturong,,0,0,0,0,0,0,0,0,0,0,835,,10.5,,15,0.4,,56,,,91.5,1.9,30,216,6.2,,,27.96,Omnivorous
Viverridae,Arctogalidia,trivirgata,Small-toothed palm civet,,0,0,0,0,0,0,0,0,0,0,530,,2.4,,2.4,0.1,11,56,,,45,2.8,,132,,,,28.13,Omnivorous
Viverridae,civettictis,civetta,African civet,1,1,0,0,0,0,1,0,0,1,1,755,,11.6,10.9,11.3,0.4,0,105,,,70.5,2.5,12,,,,1,17.04,Omnivorous
Viverridae,Genetta,genetta,Common genet,,0,0,0,0,0,0,0,0,0,0,480,,1.8,2,1.9,0.1,,112,,,73.5,2.5,24,,7.8,4,,37.34,Omnivorous
Viverridae,Viverra,zibetha,Large indian civet,1,1,0,0,0,1,2,0,0,1,1,725,,,,6.3,0.3,10,,,,,3,,,12,,1,34.5,Carnivorous
Herpestidae,Atilax,paludinosus,Marsh mongoose,1,0,0,0,0,0,0,0,0,0,0,501,,2.6,3,2.8,0.2,11.5,56,,,,2.5,,,,,1,15.58,Omnivorous
Herpestidae,Bdeogale,crassicauda,Bushy-tailed mongoose,1,0,0,0,0,0.5,0.5,0,0,1,1,450,,,,,,,,,,,,,,,,1,-0.74,Insectivorous
Herpestidae,Crossarchus,obscurus,Common kusimanse,4,0.5,0,0,0,0.5,1,1,0,0,3,322,,,,0.8,0,12,,,,56,4,9,,,,,9.79,Omnivorous
Herpestidae,Cynictis,penicillata,Yellow mongoose,4,1,1,1,0,1,4,1,1,0,2.5,286,,,,0.6,-0.1,,70,,,49.5,2.3,9,,3,,4,-16.76,Insectivorous
Herpestidae,Galerella,pulverulenta,Cape gray mongoose,1,0.5,0,0,0,0,0.5,0,0,1,1,361,,0.8,1,0.9,0,,,,,,2,,,,,1,-25.51,Omnivorous
Herpestidae,Galerella,sanguinea,mongoose,1,0.5,0,0,0,0.5,1,0,0,1,1,338,,,,0.6,-0.1,,,,,65,,12,,,1,1,18.53,Omnivorous
Herpestidae,Helogale,parvula,Common dwarf mongoose,4,1,0,1,0,1,3,0,1,0,2,470,,0.3,0.3,0.3,-0.2,,,,,51,3.6,16,,,10,9,14.3,Insectivorous
Herpestidae,Herpestes,ichneumon,Egyptian mongoose,3,1,0.5,0.5,0,1,3,0,0,1,1,540,,2.9,3.2,3.1,0.2,,,,,63,,,156,,,1.7,39.4,Omnivorous
Herpestidae,Herpestes,javanicus,Small asian mongoose,1,1,0,0.5,0,1,2.5,1,0,0,3,337,,0.5,0.8,0.7,-0.1,18.5,32,,,49,2,12,120,0,,1,37.4,Carnivorous
Herpestidae,Herpestes,urva,Crab-eating mongoose,3,1,0,0,0,1,2,,,,,512,,1.1,1.7,1.4,0.1,,,,,63,3,,120,,,,32.95,Omnivorous
Herpestidae,Ichneumia,albicauda,White-tailed mongoose,1,1,0,0.5,0,1,2.5,1,0,0,3,620,,3.5,4.3,3.9,0.2,,,,,,,,,,,1,26.36,Insectivorous
Herpestidae,Liberiictus,kuhni,Liberian mongoose,,1,0,0,0,1,2,0,1,0,2,451,,,2.3,,,,,,,,,,,,,,7.78,Insectivorous
Herpestidae,Mungos,mungo,Banded mongoose,4,1,0,0.5,0,1,2.5,0,1,0,2,,,1.2,1.3,1.3,,,84,,,59,3.8,11,108,,,20,16.73,Insectivorous
